1,mixed,mixed,100
2,mixed,mixed,500
3,mixed,mixed,1000
4,small,soft,100
5,small,medium,100
6,small,hard,100
7,small,soft,500
8,small,medium,500
9,small,hard,500
10,small,soft,1000
11,small,medium,1000
12,small,hard,1000
13,medium,soft,100
14,medium,medium,100
15,medium,hard,100
16,medium,soft,500
17,medium,medium,500
18,medium,hard,500
19,medium,soft,1000
20,medium,medium,1000
21,medium,hard,1000
22,large,soft,100
23,large,medium,100
24,large,hard,100
25,large,soft,500
26,large,medium,500
27,large,hard,500
28,large,soft,1000
29,large,medium,1000
30,large,hard,1000
31,mixed,mixed,100
32,mixed,mixed,1000
33,mixed,mixed,500
